ISOC,SUID,NEWSUID,SoilMapUnit,SOIL1,PROP1,PRID1,SOIL2,PROP2,PRID2,SOIL3,PROP3,PRID3,SOIL4,PROP4,PRID4,SOIL5,PROP5,PRID5,SOIL6,PROP6,PRID6,SOIL7,PROP7,PRID7,SOIL8,PROP8,PRID8,SOIL9,PROP9,PRID9,SOIL10,PROP10,PRID10
WD,361,WD361,Yk3Yy4Jc5Rc5 [WD361],Yk,50,WD-Yk,Yy,30,WD-Yy,Jc,10,WD-Jc,Rc,10,WD-Rc,,,,,,,,,,,,,,,,,,
WD,362,WD362,Yk3Yy4Jc5Rc5 [WD362],Yk,50,WD-Yk,Yy,30,WD-Yy,Jc,10,WD-Jc,Rc,10,WD-Rc,,,,,,,,,,,,,,,,,,
WD,363,WD363,Yk2Ix4Yy4 [WD363],Yk,60,WD-Yk,Ix,20,WD-I,Yy,20,WD-Yy,,,,,,,,,,,,,,,,,,,,,
WD,366,WD366,Yk2Jc4Zo4 [WD366],Yk,60,WD-Yk,Jc,20,WD-Jc,Zo,20,WD-Zo,,,,,,,,,,,,,,,,,,,,,
WD,367,WD367,Yk3Ix4Yl4Jc5Rc5Zg5Zo5 [WD367],Yk,40,WD-Yk,Ix,20,WD-I,Yl,20,WD-Yl,Jc,5,WD-Jc,Rc,5,WD-Rc,Zg,5,WD-Zg,Zo,5,WD-Zo,,,,,,,,,
WD,368,WD368,Yk3Ix4Yl4Jc5Rc5Zg5Zo5 [WD368],Yk,40,WD-Yk,Ix,20,WD-I,Yl,20,WD-Yl,Jc,5,WD-Jc,Rc,5,WD-Rc,Zg,5,WD-Zg,Zo,5,WD-Zo,,,,,,,,,
WD,1218,WD1218,Hl4Kl4Lc4Bk5Ix5V5 [WD1218],Hl,30,WD-Hl,Kl,20,WD-Kl,Lc,20,WD-Lc,Bk,10,WD-Bk,Ix,10,WD-I,V,10,WD-V,,,,,,,,,,,,
WD,1219,WD1219,Ix1 [WD1219],Ix,100,WD-I,,,,,,,,,,,,,,,,,,,,,,,,,,,
WD,1221,WD1221,Ix1 [WD1221],Ix,100,WD-I,,,,,,,,,,,,,,,,,,,,,,,,,,,
WD,1223,WD1223,Ix4Af4Lg4 [WD1223],Ix,34,WD-I,Af,33,WD-Af,Lg,33,WD-Lg,,,,,,,,,,,,,,,,,,,,,
WD,1226,WD1226,Ix4Ag4Fo4 [WD1226],Ix,34,WD-I,Ag,33,WD-Ag,Fo,33,WD-Fo,,,,,,,,,,,,,,,,,,,,,
WD,1227,WD1227,Ix3Ao3 [WD1227],Ix,50,WD-I,Ao,50,WD-Ao,,,,,,,,,,,,,,,,,,,,,,,,
WD,1228,WD1228,Ix3Ao3 [WD1228],Ix,50,WD-I,Ao,50,WD-Ao,,,,,,,,,,,,,,,,,,,,,,,,
WD,1229,WD1229,Ix4Bd4Nd4 [WD1229],Ix,34,WD-I,Bd,33,WD-Bd,Nd,33,WD-Nd,,,,,,,,,,,,,,,,,,,,,
WD,1230,WD1230,Ix3Be3 [WD1230],Ix,50,WD-I,Be,50,WD-Be,,,,,,,,,,,,,,,,,,,,,,,,
WD,1232,WD1232,Ix3Be3 [WD1232],Ix,50,WD-I,Be,50,WD-Be,,,,,,,,,,,,
WD,1233,WD1233,Ix4Bf4Rd4 [WD1233],Ix,34,WD-I,Bf,33,WD-Bf,Rd,33,WD-Rd,,,,,,,,,
WD,1235,WD1235,Ix3Bf3 [WD1235],Ix,50,WD-I,Bf,50,WD-Bf,,,,,,,,,,,,
WD,1237,WD1237,Ix4Bk4X4 [WD1237],Ix,34,WD-I,Bk,33,WD-Bk,X,33,WD-X,,,,,,,,,
WD,1238,WD1238,Ix3Bk3 [WD1238],Ix,50,WD-I,Bk,50,WD-Bk,,,,,,,,,,,,
WD,1239,WD1239,Ix3Bk3 [WD1239],Ix,50,WD-I,Bk,50,WD-Bk,,,,,,,,,,,,
WD,1240,WD1240,Ix4Bv4Q4 [WD1240],Ix,34,WD-I,Bv,33,WD-Bv,Q,33,WD-Q,,,,,,,,,
WD,1241,WD1241,Ix3Bv3 [WD1241],Ix,50,WD-I,Bv,50,WD-Bv,,,,,,,,,,,,
WD,1242,WD1242,Ix3Ex3 [WD1242],Ix,50,WD-I,Ex,50,WD-E,,,,,,,,,,,,
