CLAF,PRID,Drain,Layer,TopDep,BotDep,CFRAG,SDTO,STPC,CLPC,PSCL,BULK,TAWK,TAWC,CECS,BSAT,CECc,PHAQ,TCEQ,GYPS,ELCO,TOTC,TOTN,CNrt,ECEC,ALSA,ESP
Fp,WD-Fp,M,D2,20,40,21,38,16,46,F,1.269999981,,7,7,26,7.449999809,5.050000191,0,0,0,8.430000305,0.720000029,11.85999966,5,23,2
Fp,WD-Fp,M,D3,40,60,42,38,14,48,F,1.25999999,,7,4.46999979,21,6.900000095,5.199999809,0,0,0,5.400000095,0.5,9.930000305,4,24,3
Fp,WD-Fp,M,D4,60,80,23,36,15,49,F,1.25,,7,4.5,30,7,5.199999809,0,0,0,4,0.5,8.31000042,3.25,27,3
Fp,WD-Fp,M,D5,80,100,10,43,11,46,F,1.269999981,,6,3.480000019,45,6,5.150000095,0,0,0,2.700000048,0.300000012,9.340000153,3,28,3
Fr,WD-Fr,W,D1,0,20,2,36,18,46,F,1.289999962,,8,8.81000042,41,10,5.389999866,0,0,0,14.25,1.200000048,11.06999969,8.020000458,21,2
Fr,WD-Fr,W,D2,20,40,1,32,15,53,F,1.320000052,,7,7.03000021,33,8.380000114,5.28000021,0,0,0,8.710000038,0.800000012,10.15999985,6,24,2
Fr,WD-Fr,W,D3,40,60,1,31,15,54,F,1.299999952,,7,6,29,8,5.300000191,0,0,0,5,0.600000024,8.909999847,5,20,2
Fr,WD-Fr,W,D4,60,80,1,30,15,55,F,1.289999962,,7,5.699999809,18,8.149999619,5.21999979,0,0,0,4.099999905,0.5,8.329999924,5,26,2
Fr,WD-Fr,W,D5,80,100,1,29,16,55,F,1.299999952,,6,5.599999905,19,8,5.25,0,0,0,3.450000048,0.400000006,8.329999924,6,30,3
Fx,WD-Fx,W,D1,0,20,2,54,12,34,M,1.279999971,,7,6.050000191,12,5.650000095,4.400000095,0,0,0,11.43999958,0.810000002,12.47000027,6,35,2
Fx,WD-Fx,W,D2,20,40,3,49,11,40,F,1.279999971,,7,4.349999905,10,5.5,4.559999943,0,0,0,6,0.550000012,10.93000031,4,24,3
Fx,WD-Fx,W,D3,40,60,4,46,11,43,F,1.289999962,,10,3.589999914,10,5,4.699999809,0,0,0,4.300000191,0.400000006,10,3.5,26,4
Fx,WD-Fx,W,D4,60,80,4,45,11,44,F,1.320000052,,9,3.25999999,10,5,4.800000191,0,0,0,3.5,0.400000006,9.470000267,3,27,4
Fx,WD-Fx,W,D5,80,100,4,45,11,44,F,1.379999995,,7,3.099999905,11,5,4.800000191,0,0,0,2.900000095,0.300000012,8.729999542,3,28,4
G,WD-G,P,D1,0,20,4,38,33,29,M,1.25,,16,14.48999977,72,34.20000076,5.630000114,0,0,0,13.60000038,1.25,10.88000011,16.10000038,0,2
G,WD-G,P,D2,20,40,4,37,30,33,M,1.379999995,,13,12.10000038,75,36,5.800000191,0,0,0,6,0.699999988,9.909999847,14.5,0,2
G,WD-G,P,D3,40,60,5,37,29,34,M,1.399999976,,13,12.10000038,78,36,5.900000095,0,0,0,4,0.5,8.420000076,13.75,0,2
G,WD-G,P,D4,60,80,6,37,28,35,F,1.419999957,,14,11.89999962,81,35.25,5.900000095,0,0,0,3,0.400000006,7.730000019,14.75,0,3
G,WD-G,P,D5,80,100,6,37,28,35,F,1.480000019,,14,11.89999962,83,34,6.099999905,0,0,0,2.660000086,0.400000006,7.010000229,14,0,3
Gc,WD-Gc,I,D1,0,20,2,39,25,36,F,1.279999971,,6,18.39999962,100,46.61999893,7.099999905,31,1,0.920000017,7.599999905,1.5,8.960000038,29.25,0,3
Gc,WD-Gc,I,D2,20,40,10,37,27,36,F,1.460000038,,11,13.14999962,100,37.38000107,7.599999905,77.40000153,1,1.200000048,4.5,0.870000005,8.68999958,32.59999847,0,3
Gc,WD-Gc,I,D3,40,60,5,44,26,30,M,1.470000029,,18,12.81000042,100,40.09999847,7.900000095,109,1,0.50999999,2.75,0.610000014,7.5,29.75,0,3
Gc,WD-Gc,I,D4,60,80,6,43,27,30,M,1.529999971,,18,12.44999981,100,40.70000076,8.100000381,113.75,1,0.730000019,2.609999895,0.349999994,7,48.29999924,0,3
Gc,WD-Gc,I,D5,80,100,6,46,26,28,M,1.529999971,,14,11.89999962,100,37,8.279999733,81,1,0.579999983,2.599999905,0.300000012,7.880000114,43.75,0,4
Gd,WD-Gd,P,D1,0,20,2,38,31,31,M,1.299999952,,16,13.02000046,42,27,4.909999847,0,0,0,14,1.200000048,11.09000015,11,37,2
Gd,WD-Gd,P,D2,20,40,6,36,29,35,F,1.299999952,,9,8.069999695,44,28,5,0,0,0,6.349999905,0.699999988,9.279999733,8.5,31,1
Gd,WD-Gd,P,D3,40,60,4,36,28,36,F,1.340000033,,8,8.75,36,27,5,0,0,0,3.799999952,0.409999996,8.18999958,9.5,43,1
Gd,WD-Gd,P,D4,60,80,7,37,26,37,F,1.299999952,,12,8.5,35,25,5,0,0,0,2.819999933,0.379999995,7.090000153,10,52,1
Gd,WD-Gd,P,D5,80,100,8,40,23,37,F,1.289999962,,12,8.850000381,40,31,5,0,0,0,2.599999905,0.400000006,7.619999886,10,41,1
Ge,WD-Ge,P,D1,0,20,4,37,33,30,M,1.289999962,,17,14.60000038,80,37.95000076,5.949999809,0,0,0,12.22000027,1,10.52999973,18.5,0,2
Ge,WD-Ge,P,D2,20,40,4,35,31,34,M,1.409999967,,16,14.43999958,83,39.88000107,6.119999886,0,0,0,5,0.600000024,9.5,18.25,0,3
Ge,WD-Ge,P,D3,40,60,7,35,30,35,F,1.419999957,,14,13.85000038,86,38,6.28000021,0,0,0,3.5,0.5,7.900000095,16.5,0,3
Ge,WD-Ge,P,D4,60,80,10,35,30,35,F,1.450000048,,14,13.64999962,86,39,6.400000095,0,0,0,2.839999914,0.400000006,7.5,17,0,3
Ge,WD-Ge,P,D5,80,100,10,34,30,36,F,1.480000019,,14,14.39999962,90,39.5,6.590000153,1,1,0.200000003,2.599999905,0.400000006,7,17,0,3
Gh,WD-Gh,P,D1,0,20,1,39,34,27,M,1.139999986,,11,20,18,36.75,5.199999809,0,0,0,43.40000153,2.339999914,12.22000027,28.75,20,2
Gh,WD-Gh,P,D2,20,40,2,41,28,31,M,1.480000019,,8,16.93000031,26,38.5,5.28000021,0,0,0,13.15999985,1.110000014,11.72000027,23.62000084,22,3
Gh,WD-Gh,P,D3,40,60,5,43,27,30,M,1.600000024,,6,9.699999809,27,29.5,5.400000095,0,0,0,7,0.569999993,10.97999954,24,29,3
Gh,WD-Gh,P,D4,60,80,7,44,27,29,M,1.600000024,,9,9.710000038,32,27.89999962,5.199999809,0,0,0,4.800000191,0.5,10,24.79999924,39,3
Gh,WD-Gh,P,D5,80,100,5,45,27,28,M,1.710000038,,10,8.710000038,33,27,5.230000019,0,0,0,4,0.400000006,10,15,31,4
GL,WD-GL,-2,D1,-2,-2,-2,-2,-2,-2,-2,-2,,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
GL,WD-GL,-2,D2,-2,-2,-2,-2,-2,-2,-2,-2,,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
GL,WD-GL,-2,D3,-2,-2,-2,-2,-2,-2,-2,-2,,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
GL,WD-GL,-2,D4,-2,-2,-2,-2,-2,-2,-2,-2,,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
GL,WD-GL,-2,D5,-2,-2,-2,-2,-2,-2,-2,-2,,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
Gm,WD-Gm,P,D1,0,20,2,35,32,33,M,1.289999962,,16,21.64999962,88,43.5,6.400000095,0,0,0,21,1.620000005,12.01000023,26.25,0,2
Gm,WD-Gm,P,D2,20,40,3,36,29,35,F,1.299999952,,13,17.68000031,88,39.90000153,6.599999905,1,1,0.319999993,11.21000004,0.800000012,10.64000034,20,0,2
Gm,WD-Gm,P,D3,40,60,2,34,29,37,F,1.389999986,,15,17.60000038,95,40,6.699999809,1,1,0.389999986,6.150000095,0.600000024,10,20.44000053,0,2
Gm,WD-Gm,P,D4,60,80,5,36,27,37,F,1.409999967,,14,16.89999962,100,42,6.800000191,1,1,0.5,4,0.600000024,8.069999695,21.10000038,0,2
Gm,WD-Gm,P,D5,80,100,4,39,26,35,F,1.440000057,,16,17.39999962,98,41,7,23.60000038,1,0.349999994,3.5,0.5,7.639999866,16.5,0,2
Gp,WD-Gp,I,D1,0,20,9,49,31,20,M,1.299999952,,16,4.599999905,24,15.5,5.260000229,0,0,0,7,0.769999981,9.93999958,5.699999809,28,2
Gp,WD-Gp,I,D2,20,40,10,44,29,27,M,1.340000033,,13,5.21999979,18,13,5.070000172,0,0,0,3.799999952,0.519999981,8.93999958,5.53000021,27,5
Gp,WD-Gp,I,D3,40,60,10,40,27,33,M,1.299999952,,13,6.050000191,18,16.39999962,5.119999886,0,0,0,3,0.439999998,7,5,48,3
Gp,WD-Gp,I,D4,60,80,4,37,25,38,F,1.320000052,,14,7.099999905,23,16.25,5.110000134,0,0,0,2.099999905,0.400000006,7,6.550000191,69,3
Gp,WD-Gp,I,D5,80,100,4,35,26,39,F,1.399999976,,14,6.070000172,30,13.5,5.199999809,0,0,0,2,0.379999995,7,7,54,3
Gx,WD-Gx,P,D1,0,20,4,29,51,20,M,0.959999979,,16,38.09999847,100,72.5,6.110000134,0,0,0,40.29999924,9.029999733,18.40999985,16.10000038,0,2
Gx,WD-Gx,P,D2,20,40,4,30,48,22,M,1.450000048,,13,20,100,80.5,6.639999866,1,1,0.200000003,10.23999977,0.779999971,13.09000015,14.5,0,2
Gx,WD-Gx,P,D3,40,60,5,28,50,22,M,1.549999952,,13,17.57999992,100,79,6.800000191,1,1,0.200000003,8,0.699999988,10.09000015,13.75,0,2
Gx,WD-Gx,P,D4,60,80,6,28,53,19,M,1.549999952,,14,13.89999962,100,73.5,7.5,20,1,0.200000003,5,0.400000006,7.730000019,14.75,0,3
Gx,WD-Gx,P,D5,80,100,6,37,28,35,F,1.480000019,,14,11.89999962,83,34,6.099999905,0,0,0,2.660000086,0.400000006,7.010000229,14,0,3
H,WD-H,W,D1,0,20,4,33,36,31,M,1.289999962,,12,21.5,86,51.70000076,6.360000134,0,0,0,18.71999931,1.600000024,11.02000046,24.60000038,0,2
H,WD-H,W,D2,20,40,5,32,33,35,F,1.330000043,,11,23.04000092,90,55.79999924,6.519999981,1,1,0.170000002,12.19999981,1.159999967,10.31000042,24.04999924,0,2
H,WD-H,W,D3,40,60,5,31,33,36,F,1.379999995,,11,22.70000076,95,59,6.800000191,1,1,0.200000003,7.75,0.850000024,9.409999847,23.25,0,2
H,WD-H,W,D4,60,80,6,32,33,35,F,1.389999986,,12,22.70000076,99,62,7.050000191,13.60000038,1,0.219999999,5.150000095,0.680000007,9,24,0,2
H,WD-H,W,D5,80,100,7,33,35,32,M,1.389999986,,11,21.78000069,100,63,7.199999809,35,1,0.200000003,3.99000001,0.550000012,7.829999924,24.35000038,0,2
Hc,WD-Hc,W,D1,0,20,7,30,38,32,M,1.450000048,,9,26.40999985,100,69,7.869999886,41.45000076,1,0.370000005,16,1.600000024,10.35000038,40.5,0,1
Hc,WD-Hc,W,D2,20,40,11,28,39,33,M,1.440000057,,9,26.25,100,67.80000305,8.010000229,53.11999893,1,0.370000005,8.979999542,1.25,9.75,42.97000122,0,2
Hc,WD-Hc,W,D3,40,60,23,28,41,31,M,1.429999948,,10,22.70000076,100,65.5,8.149999619,103,1,0.340000004,6.119999886,0.879999995,8.319999695,49.34999847,0,3
Hc,WD-Hc,W,D4,60,80,20,30,42,28,M,1.5,,10,18.64999962,100,61,8.279999733,138.8000031,1,0.239999995,4.75,0.519999981,8.649999619,43.5,0,2
Hc,WD-Hc,W,D5,80,100,7,28,45,27,M,1.50999999,,10,15.44999981,100,61,8.31000042,153,1,0.219999999,3.099999905,0.400000006,9.31000042,48,0,3
Hg,WD-Hg,I,D1,0,20,4,32,36,32,M,1.279999971,,13,22.19000053,84,48.58000183,5.630000114,0,0,0,14.25,1.74000001,10.35999966,24,0,2
Hg,WD-Hg,I,D2,20,40,5,30,34,36,F,1.299999952,,12,23.31999969,88,48.15000153,6.159999847,0,0,0,10.19999981,1.200000048,9.359999657,24,0,2
Hg,WD-Hg,I,D3,40,60,5,32,31,37,F,1.379999995,,14,22.55999947,90,49.75,6.510000229,1,1,0.200000003,6,0.639999986,9.800000191,29,0,3
Hg,WD-Hg,I,D4,60,80,6,33,32,35,F,1.399999976,,11,23.25,98,64.59999847,6.849999905,1,1,0.219999999,3.880000114,0.5,7,29,0,3
Hg,WD-Hg,I,D5,80,100,4,28,37,35,F,1.460000038,,12,22.22999954,97,54,7.199999809,103.5,1,0.200000003,3.5,0.349999994,7,26.62000084,0,3
Hh,WD-Hh,W,D1,0,20,10,34,34,32,M,1.299999952,,13,21.75,85,52.08000183,6.400000095,0,0,0,19.06999969,1.529999971,11.07999992,24.29999924,0,1
Hh,WD-Hh,W,D2,20,40,10,35,32,33,M,1.299999952,,12,20.75,88,58.5,6.510000229,1,1,0.100000001,12.39999962,1.100000024,10.59000015,22,0,1
Hh,WD-Hh,W,D3,40,60,9,37,32,31,M,1.350000024,,12,18.95000076,94,60.90000153,6.710000038,1,1,0.270000011,6.989999771,0.800000012,9.75,20.5,0,1
Hh,WD-Hh,W,D4,60,80,10,38,33,29,M,1.370000005,,13,18.20000076,97,59,6.849999905,1,1,0.340000004,5,0.519999981,9.029999733,21,0,1
Hh,WD-Hh,W,D5,80,100,10,40,33,27,M,1.360000014,,12,18.32999992,97,60,6.929999828,1,1,0.25999999,4,0.5,8,22,0,1
Hl,WD-Hl,W,D1,0,20,4,33,38,29,M,1.25,,10,21.25,85,48.5,6.179999828,0,0,0,19.67000008,1.700000048,11.46000004,21.60000038,0,2
Hl,WD-Hl,W,D2,20,40,4,30,34,36,F,1.330000043,,11,24.04999924,87,54.84999847,6.340000153,0,0,0,12.59000015,1.200000048,10.65999985,25,0,2
Hl,WD-Hl,W,D3,40,60,4,28,31,41,F,1.389999986,,10,26,92,58.70000076,6.699999809,1,1,0.150000006,9,0.899999976,9.399999619,25,0,2
Hl,WD-Hl,W,D4,60,80,4,28,31,41,F,1.370000005,,10,25.25,96,64,6.900000095,1,0.800000012,0.200000003,6,0.75,9,26.25,0,2
Hl,WD-Hl,W,D5,80,100,10,28,34,38,F,1.370000005,,10,25.39999962,99,66.94999695,7.079999924,7.800000191,1,0.200000003,4,0.600000024,7.550000191,25.5,0,2
Ix,WD-I,S,D1,0,10,28,48,29,23,M,1.350000024,,12,15.35000038,100,42,7.5,92,36.40000153,0.730000019,14.06999969,1.350000024,11.02000046,16.5,0,4
Ix,WD-I,S,D2,-7,-7,-7,-7,-7,-7,-7,-7,,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
Ix,WD-I,S,D3,-7,-7,-7,-7,-7,-7,-7,-7,,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
Ix,WD-I,S,D4,-7,-7,-7,-7,-7,-7,-7,-7,,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
Ix,WD-I,S,D5,-7,-7,-7,-7,-7,-7,-7,-7,,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
J,WD-J,M,D1,0,20,4,42,34,24,M,1.360000014,,12,13.56999969,92,45,6.900000095,1,2,0.400000006,8.010000229,1,10.02999973,18,0,3
J,WD-J,M,D2,20,40,6,42,33,25,M,1.379999995,,12,12.69999981,96,46,7.300000191,47.11999893,1,0.400000006,5,0.620000005,9.109999657,17.5,0,3
J,WD-J,M,D3,40,60,8,43,32,25,M,1.409999967,,10,12.10000038,98,45,7.429999828,47.25,1,0.400000006,3.950000048,0.5,8.720000267,18,0,3
J,WD-J,M,D4,60,80,10,44,32,24,M,1.409999967,,10,11.19999981,100,44,7.599999905,50.5,2,0.400000006,3.089999914,0.469999999,8.43999958,17,0,3
J,WD-J,M,D5,80,100,10,44,32,24,M,1.419999957,,11,10.94999981,100,45,7.599999905,56.09999847,2,0.310000002,3,0.400000006,8.380000114,16,0,3
Jc,WD-Jc,W,D1,0,20,5,42,38,20,M,1.419999957,,11,13.27000046,100,68,8,100,2,0.600000024,5.400000095,0.699999988,8.93999958,20,0,3
Jc,WD-Jc,W,D2,20,40,5,42,39,19,M,1.440000057,,10,13.38000011,100,70.19999695,8.100000381,100.5,2,0.5,4.449999809,0.540000021,9,21,0,4
Jc,WD-Jc,W,D3,40,60,7,44,37,19,M,1.450000048,,9,13.43000031,100,76.5,8.100000381,110.5,2,0.5,3.75,0.400000006,8.670000076,21,0,3
Jc,WD-Jc,W,D4,60,80,7,43,37,20,M,1.450000048,,9,12.60000038,100,80,8.119999886,113,4.380000114,0.400000006,3.5,0.409999996,8.680000305,22,0,3
Jc,WD-Jc,W,D5,80,100,6,42,38,20,M,1.409999967,,11,12.80000019,100,75,8.100000381,110,7.75,0.449999988,3.369999886,0.400000006,8.829999924,24,0,3
Jd,WD-Jd,I,D1,0,20,4,50,28,22,M,1.340000033,,13,6.820000172,32,26,4.889999866,0,0,0,12.02999973,1.190000057,11.42000008,9.149999619,34,3
Jd,WD-Jd,I,D2,20,40,3,50,27,23,M,1.340000033,,14,6.300000191,24,21,4.900000095,0,0,0,5.699999809,0.75,10.53999996,7,38,2
Jd,WD-Jd,I,D3,40,60,8,53,25,22,M,1.429999948,,14,5.900000095,22,22,5,0,0,0,4,0.519999981,10.42000008,7.900000095,40,3
Jd,WD-Jd,I,D4,60,80,10,54,24,22,M,1.429999948,,12,6.099999905,22,24,4.96999979,0,0,0,2.599999905,0.409999996,10,7.5,36,4
Jd,WD-Jd,I,D5,80,100,17,57,22,21,M,1.5,,13,5.75,17,28,5,0,0,0,2,0.400000006,9.300000191,5.5,33,3
Je,WD-Je,M,D1,0,20,4,43,33,24,M,1.320000052,,12,14.73999977,90,50,6.820000172,1,1,0.200000003,8.5,1,10,18,0,2
Je,WD-Je,M,D2,20,40,10,43,32,25,M,1.379999995,,13,14,93,56,7.090000153,22.5,1,0.200000003,5,0.670000017,8.869999886,18.75,0,2
Je,WD-Je,M,D3,40,60,10,43,32,25,M,1.399999976,,10,14.14000034,98,52,7.099999905,22.95000076,1,0.200000003,3.75,0.5,8.079999924,18.60000038,0,3
Je,WD-Je,M,D4,60,80,10,45,31,24,M,1.399999976,,11,12,95,50.59999847,7.260000229,23.5,10,0.200000003,3,0.400000006,8,16,0,3
Je,WD-Je,M,D5,80,100,10,45,31,24,M,1.419999957,,11,11.36999989,95,50,7.300000191,23,1,0.200000003,2.170000076,0.400000006,7.690000057,14,0,3
Jt,WD-Jt,P,D1,0,20,4,21,35,44,F,1.159999967,,12,20.39999962,45,23.81999969,4.639999866,0,0,0,23.5,1.830000043,11.47999954,26.82999992,15,10
Jt,WD-Jt,P,D2,20,40,6,21,33,46,F,1.179999948,,15,21.35000038,30,25,3.970000029,0,0,0,15.71000004,1.200000048,11.68000031,17.5,35,12
Jt,WD-Jt,P,D3,40,60,8,21,34,45,F,1.080000043,,10,22.20000076,30,25,3.680000067,0,0,0,14.27000046,1.399999976,11.73999977,19.82999992,35,12
Jt,WD-Jt,P,D4,60,80,10,21,33,46,F,1.129999995,,10,23.10000038,30,27,3.700000048,0,0,0,11.94999981,1.049999952,10.17000008,22.39999962,35,13
Jt,WD-Jt,P,D5,80,100,10,23,32,45,F,1.100000024,,11,22,30,29,3.529999971,0,0,0,11,0.949999988,13.44999981,26,35,12
K,WD-K,W,D1,0,20,4,31,38,31,M,1.25999999,,11,20.56999969,100,67.25,7.400000095,36,1.5,0.620000005,13.19999981,1.600000024,10,22.5,0,2
K,WD-K,W,D2,20,40,4,31,38,31,M,1.360000014,,12,21.14999962,100,68.59999847,7.699999809,67.5,1.25,0.5,8.460000038,1.059999943,9.050000191,30.10000038,0,2
K,WD-K,W,D3,40,60,4,30,39,31,M,1.399999976,,13,19.39999962,100,70,7.960000038,129.25,2,0.540000021,6,0.899999976,8.329999924,27,0,2
K,WD-K,W,D4,60,80,2,29,40,31,M,1.440000057,,13,18.07999992,100,66,8,124,4,0.600000024,4.5,0.600000024,7.5,30,0,3
K,WD-K,W,D5,80,100,4,28,41,31,M,1.49000001,,11,17.60000038,100,60.5,8.199999809,113.25,6,0.800000012,3,0.5,7.289999962,30.25,0,4
Kh,WD-Kh,W,D1,0,20,4,29,42,29,M,1.25,,11,21.25,100,75,7.28000021,13,1.5,0.699999988,14.27000046,1.549999952,10,18.35000038,0,2
Kh,WD-Kh,W,D2,20,40,4,29,40,31,M,1.350000024,,12,23.45000076,100,88.27999878,7.5,60.11999893,1.25,0.5,9.949999809,1.149999976,9.659999847,23.04999924,0,2
Kh,WD-Kh,W,D3,40,60,4,31,40,29,M,1.409999967,,13,19.92000008,100,99,7.599999905,69.19999695,2,0.850000024,5.599999905,0.699999988,8.130000114,23.67000008,0,2
Kh,WD-Kh,W,D4,60,80,2,29,41,30,M,1.399999976,,13,19.04999924,100,87.52999878,7.900000095,91.30000305,4,1.899999976,4.400000095,0.550000012,7.409999847,34,0,4
Kh,WD-Kh,W,D5,80,100,4,27,41,32,M,1.389999986,,11,19.02000046,100,74,8,82.5,6,0.800000012,2.900000095,0.5,7.079999924,30.25,0,4
Kk,WD-Kk,W,D1,0,20,4,32,36,32,M,1.24000001,,11,21.29999924,100,51.5,8.069999695,44,1.5,0.439999998,14.5,1.679999948,9.470000267,32.5,0,3
Kk,WD-Kk,W,D2,20,40,4,31,36,33,M,1.279999971,,12,21.09000015,100,54.65000153,8.119999886,88.12000275,1.25,0.479999989,9,1.080000043,8.5,40.59999847,0,2
Kk,WD-Kk,W,D3,40,60,4,29,40,31,M,1.419999957,,13,19.5,100,57,8.25,148.7599945,2,0.409999996,6.699999809,0.959999979,8.289999962,40.90000153,0,2
Kk,WD-Kk,W,D4,60,80,2,29,41,30,M,1.360000014,,13,17.5,100,62.02999878,8.300000191,167,4,0.550000012,4.050000191,0.800000012,7.5,39.25,0,3
Kk,WD-Kk,W,D5,80,100,5,29,41,30,M,1.220000029,,11,17.5,100,44.5,8.399999619,162.3999939,6,0.629999995,3.170000076,0.550000012,7.510000229,50,0,4
Kl,WD-Kl,W,D1,0,20,3,33,37,30,M,1.360000014,,10,18.95999908,100,65,7.070000172,5,1.5,0.75999999,12.39999962,1.549999952,9.609999657,21.62000084,0,1
Kl,WD-Kl,W,D2,20,40,2,33,36,31,M,1.429999948,,11,20.01000023,100,68.59999847,7.5,29.5,1.25,0.519999981,8.069999695,1.070000052,8.840000153,27.02000046,0,2
Kl,WD-Kl,W,D3,40,60,3,30,38,32,M,1.379999995,,12,20.70000076,100,64.65000153,7.900000095,130.3800049,2,1.519999981,6,0.800000012,8.569999695,27,0,1
Kl,WD-Kl,W,D4,60,80,2,29,39,32,M,1.450000048,,12,19.22999954,100,64.5,8,120.25,4,3.569999933,4.800000191,0.600000024,8.590000153,28,0,8
Kl,WD-Kl,W,D5,80,100,3,27,42,31,M,1.50999999,,10,19.5,100,66,8.149999619,134.75,6,5.75,3,0.379999995,7.5,25,0,10
L,WD-L,W,D1,0,20,6,57,23,20,M,1.429999948,,10,8.5,88,37.70000076,6.389999866,0,0,0,7.25,0.800000012,10.73999977,11,0,2
L,WD-L,W,D2,20,40,7,51,22,27,M,1.49000001,,10,8.699999809,86,34.04999924,6.300000191,0,0,0,4.25,0.5,9.850000381,11,0,3
L,WD-L,W,D3,40,60,8,48,21,31,M,1.5,,10,9.600000381,85,34,6.300000191,0,0,0,3.25999999,0.449999988,8.649999619,13,0,3
L,WD-L,W,D4,60,80,10,46,21,33,M,1.50999999,,10,10.10000038,86,32,6.300000191,0,0,0,2.900000095,0.400000006,7.5,13.75,0,3
L,WD-L,W,D5,80,100,10,45,22,33,M,1.50999999,,11,10,88,31.87999916,6.400000095,0,0,0,2.339999914,0.400000006,7.28000021,14,0,3
La,WD-La,M,D1,0,20,10,56,32,12,M,1.429999948,,10,8.800000191,86,45,6.320000172,0,0,0,7.090000153,0.980000019,11.32999992,4,0,2
La,WD-La,M,D2,20,40,12,56,27,17,M,1.419999957,,10,7.610000134,84,50.5,6.010000229,0,0,0,3.75,0.550000012,9.800000191,14.44999981,0,5
La,WD-La,M,D3,40,60,15,54,24,22,M,1.5,,10,10.59000015,88,52.66999817,6.099999905,0,0,0,3,0.400000006,9.770000458,25.37999916,0,8
La,WD-La,M,D4,60,80,15,51,24,25,M,1.610000014,,10,13.02000046,100,52.79999924,6.400000095,0,0,0,2.119999886,0.400000006,8.5,29,0,4
La,WD-La,M,D5,80,100,15,53,24,23,M,1.590000033,,11,12.19999981,100,52.25,6.96999979,1,1,0.109999999,2,0.400000006,7.789999962,22,0,4
Lc,WD-Lc,W,D1,0,20,7,50,25,25,M,1.480000019,,10,11.10999966,86,37.40000153,6.449999809,0,0,0,9,1.019999981,10.02000046,11.88000011,0,2
Lc,WD-Lc,W,D2,20,40,8,43,23,34,M,1.49000001,,10,12.30000019,86,37,6.400000095,0,0,0,5.139999866,0.699999988,9.069999695,15,0,2
Lc,WD-Lc,W,D3,40,60,8,41,23,36,F,1.5,,11,12.47999954,87,35,6.400000095,0,0,0,4,0.560000002,8.109999657,17,0,2
Lc,WD-Lc,W,D4,60,80,10,41,22,37,F,1.5,,12,12.69999981,86,35,6.400000095,0,0,0,3.180000067,0.5,7.300000191,18,0,2
Lc,WD-Lc,W,D5,80,100,10,41,24,35,F,1.5,,12,11.64999962,89,38,6.5,1,1,0.100000001,3,0.5,7,16.75,0,2
Lf,WD-Lf,W,D1,0,20,5,69,15,16,M,1.480000019,,5,5.75,82,27.75,6.199999809,0,0,0,7,0.629999995,11.88000011,6,0,3
Lf,WD-Lf,W,D2,20,40,10,62,14,24,M,1.5,,5,5.300000191,80,21,6.099999905,0,0,0,4.179999828,0.449999988,10,4,0,4
Lf,WD-Lf,W,D3,40,60,10,57,13,30,M,1.460000038,,4,5.869999886,80,18.5,6,0,0,0,3.5,0.400000006,9.390000343,5,0,4
Lf,WD-Lf,W,D4,60,80,10,53,13,34,M,1.460000038,,5,6.800000191,80,16,6,0,0,0,3,0.400000006,8,5,0,3
Lf,WD-Lf,W,D5,80,100,10,51,14,35,F,1.5,,5,6.599999905,80,16,6,0,0,0,2.599999905,0.400000006,7.5,7,0,4
Lg,WD-Lg,I,D1,0,20,4,52,27,21,M,1.399999976,,18,10.80000019,88,47.11999893,6.199999809,0,0,0,8,0.800000012,11.46000004,12.69999981,0,2
Lg,WD-Lg,I,D2,20,40,5,47,26,27,M,1.480000019,,16,11.68999958,84,43.5,6.289999962,0,0,0,4,0.5,10,12.19999981,0,2
Lg,WD-Lg,I,D3,40,60,6,42,25,33,M,1.570000052,,14,14.80000019,88,40,6.349999905,0,0,0,3,0.400000006,8.670000076,16,0,3
Lg,WD-Lg,I,D4,60,80,8,40,25,35,F,1.600000024,,13,14.5,96,41,6.599999905,1,1,0.200000003,2,0.400000006,7.5,16,0,3
Lg,WD-Lg,I,D5,80,100,7,39,27,34,M,1.610000014,,12,14.80000019,98,42,6.75,1,1,0.25,2,0.319999993,7,15,0,3
Lk,WD-Lk,M,D1,0,20,7,58,22,20,M,1.450000048,,8,11.25,100,55,7.929999828,111,0.879999995,0.200000003,4,0.75,8.909999847,20.75,0,2
Lk,WD-Lk,M,D2,20,40,10,54,22,24,M,1.460000038,,10,12.43999958,100,53,8.050000191,154,1,0.25,3,0.5,7.639999866,22,0,2
