CLAF,PRID,Drain,Layer,TopDep,BotDep,CFRAG,SDTO,STPC,CLPC,PSCL,BULK,TAWK,TAWC,CECS,BSAT,CECc,PHAQ,TCEQ,GYPS,ELCO,TOTC,TOTN,CNrt,ECEC,ALSA,ESP
Bc,WD-Bc,W,D3,40,60,7,38,27,35,F,1.399999976,,11,13.69999981,89,33.33000183,6.929999828,1,1,0.170000002,4.150000095,0.5,7.869999886,14.5,0,2
Bc,WD-Bc,W,D4,60,80,6,37,28,35,F,1.399999976,,15,14.94999981,97,36,6.900000095,1,1,0.109999999,3,0.49000001,7,16.04999924,0,2
Bc,WD-Bc,W,D5,80,100,4,39,27,34,M,1.419999957,,11,14.93999958,96,40,7,24.37999916,1,0.159999996,3,0.5,7,17,0,2
Bd,WD-Bd,W,D1,0,20,10,44,33,23,M,1.299999952,,15,12.67000008,30,25.75,5.03000021,0,0,0,16,1.549999952,11.77000046,8,33,2
Bd,WD-Bd,W,D2,20,40,10,43,32,25,M,1.330000043,,14,9.25,26,28.63999939,5.059999943,0,0,0,6.300000191,0.800000012,10.73999977,6.400000095,46,2
Bd,WD-Bd,W,D3,40,60,13,44,31,25,M,1.350000024,,15,8.729999542,25,32,5.079999924,0,0,0,4.440000057,0.5,10,6,53,3
Bd,WD-Bd,W,D4,60,80,20,46,30,24,M,1.360000014,,15,8.899999619,26,34,5.050000191,0,0,0,3.25999999,0.409999996,10,7,55,3
Bd,WD-Bd,W,D5,80,100,20,47,30,23,M,1.399999976,,14,8.5,27,34,5.099999905,0,0,0,2.630000114,0.300000012,8.829999924,6,55,3
Be,WD-Be,W,D1,0,20,10,44,32,24,M,1.379999995,,11,15.39999962,93,53.59999847,6.679999828,1,0.800000012,0.150000006,10.61999989,1.200000048,9.979999542,18,0,2
Be,WD-Be,W,D2,20,40,10,42,31,27,M,1.389999986,,11,15.10000038,91,50.59999847,6.699999809,1,1,0.150000006,5.800000191,0.699999988,8.850000381,16,0,2
Be,WD-Be,W,D3,40,60,10,41,31,28,M,1.399999976,,12,15.56999969,91,50,6.860000134,1,0.980000019,0.200000003,4,0.560000002,8.75,17.79999924,0,3
Be,WD-Be,W,D4,60,80,10,42,30,28,M,1.399999976,,12,15.27000046,94,52.59999847,6.96999979,1,1,0.200000003,2.900000095,0.400000006,8.75,22,0,3
Be,WD-Be,W,D5,80,100,20,43,31,26,M,1.399999976,,13,15.25,98,52,7.099999905,14,1,0.189999998,2.25,0.400000006,8.119999886,20.60000038,0,2
Bf,WD-Bf,W,D1,0,20,4,46,23,31,M,1.279999971,,12,6.860000134,25,12.69999981,4.900000095,0,0,0,11.56999969,1,10.43999958,5,25,2
Bf,WD-Bf,W,D2,20,40,5,44,21,35,F,1.299999952,,10,5.25,24,11.19999981,4.980000019,0,0,0,5.760000229,0.600000024,9.319999695,5.5,29,3
Bf,WD-Bf,W,D3,40,60,10,43,21,36,F,1.299999952,,8,5.099999905,29,12,5,0,0,0,3.75,0.5,7.800000191,5.75,21,5
Bf,WD-Bf,W,D4,60,80,10,42,22,36,F,1.299999952,,7,4.739999771,42,13,5,0,0,0,2.799999952,0.5,7,4.5,25,4
Bf,WD-Bf,W,D5,80,100,10,42,22,36,F,1.289999962,,8,4.800000191,35,13,5,0,0,0,2.319999933,0.400000006,7,4.5,20,4
Bg,WD-Bg,I,D1,0,20,5,44,31,25,M,1.320000052,,13,11.25,80,38,6.070000172,0,0,0,10.28999996,0.860000014,11.46000004,14.5,0,3
